ACTIVITY, O_DUPCHK, OL_SHIP, O_INVOICE,  OL_INVOICE, O_ADDRCHK, O_FRAUDCHK,  O_CREATE,  OL_CREATE,  O_SCHED,  OL_SCHED,  O_RELEASE,  OL_RELEASE, NONE
O_DUPCHK, -59,  59,  58,  58,  58,  58,  58,  27,  27,  26,  20,  20,  -1,
OL_SHIP, -59, -59, -52, -52,  58,  58,  58,  27,  27,  26,  20,  20,  -1,
O_INVOICE, -58,  52, -58,  58,  58,  58,  57,  27,  27,  26,  20,  20,   0,
OL_INVOICE, -58,  52, -58, -58,  58,  58,  57,  27,  27,  26,  20,  20,   0,
O_ADDRCHK, -58, -58, -58, -58, -58,  58,  57,  27,  27,  26,  20,  20,   0,
O_FRAUDCHK, -58, -58, -58, -58, -58, -58,  57,  27,  27,  26,  20,  20,   0,
O_CREATE, -58, -58, -57, -57, -57, -57, -59, -27, -27, -26, -21, -21,  -1,
OL_CREATE, -27, -27, -27, -27, -27, -27,  27, -27,  27,  26,  20,  20,   0,
O_SCHED, -27, -27, -27, -27, -27, -27,  27, -27, -27, -12,  20,  20,   0,
OL_SCHED, -26, -26, -26, -26, -26, -26,  26, -26,  12, -26,  20,  20,   0,
O_RELEASE, -20, -20, -20, -20, -20, -20,  21, -20, -20, -20, -21,  21,   0,
OL_RELEASE, -20, -20, -20, -20, -20, -20,  21, -20, -20, -20, -21, -21,   0,
NONE,  1,   1,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,  -1,
